City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Kijang,KR,35.2442,129.2139,69.53,86,14,3.51,few clouds
184,Huicheng,CN,23.0385,116.2899,79.63,83,6,13.65,clear sky
185,Leningradskiy,RU,69.3833,178.4167,27.91,98,100,7.65,light snow
186,Dingle,PH,10.9995,122.6711,75.18,89,88,2.55,overcast clouds
187,Aklavik,CA,68.2191,-135.0107,26.82,82,96,7.36,overcast clouds
188,Nhamunda,BR,-2.1861,-56.7131,98.35,30,100,5.03,overcast clouds
189,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,74,0,8.95,clear sky
190,Nouakchott,MR,18.0858,-15.9785,87.73,61,100,12.55,overcast clouds
191,Alvorada,BR,-12.48,-49.1247,102.85,19,35,7.61,scattered clouds
192,Zhigansk,RU,66.7697,123.3711,30.47,70,100,18.63,overcast clouds
193,Mahebourg,MU,-20.4081,57.7,69.26,94,40,5.75,light rain
194,Takoradi,GH,4.8845,-1.7554,79.52,84,80,9.01,light rain
195,Bara,NG,10.3744,10.7288,84.69,51,77,5.17,broken clouds
196,Marquette,US,46.5333,-87.6335,69.78,75,0,3.65,clear sky
197,Waitati,NZ,-45.75,170.5667,50.2,91,100,3.22,overcast clouds
198,Upernavik,GL,72.7868,-56.1549,33.4,55,100,3.8,overcast clouds
199,Awjilah,LY,29.1081,21.2869,75.2,34,0,8.66,clear sky
200,Nome,US,64.5011,-165.4064,40.15,97,100,17.47,light rain
201,Yarada,IN,17.65,83.2667,82.72,89,20,2.3,few clouds
202,Datong,CN,40.0936,113.2914,47.46,81,100,1.39,overcast clouds
203,Port-Gentil,GA,-0.7193,8.7815,77.74,81,60,16.87,broken clouds
204,Matagami,CA,49.7502,-77.6328,68.11,52,1,6.91,clear sky
205,Cidreira,BR,-30.1811,-50.2056,69.93,69,70,3.89,broken clouds
206,Kieta,PG,-6.2167,155.6333,78.26,82,74,2.15,light rain
207,Erzin,TR,36.9559,36.2,73.0,29,0,1.92,clear sky
208,Bredasdorp,ZA,-34.5322,20.0403,62.28,89,0,17.65,clear sky
209,Constitucion,CL,-35.3333,-72.4167,61.7,49,0,10.56,clear sky
210,San Cristobal,VE,7.7669,-72.225,84.38,59,92,7.76,overcast clouds
211,San Quintin,MX,30.4833,-115.95,71.64,68,8,11.88,clear sky
212,Chunskiy,RU,56.0815,99.6342,29.32,79,87,2.35,overcast clouds
213,Puerto Ayora,EC,-0.7393,-90.3518,72.55,87,93,5.01,overcast clouds
214,Key West,US,24.5557,-81.7826,91.4,71,20,12.66,few clouds
215,Imperia,IT,43.9667,7.7833,58.41,70,2,6.71,clear sky
216,Marawi,PH,7.9986,124.2928,66.65,85,91,2.37,overcast clouds
217,Goderich,CA,43.7501,-81.7165,69.91,74,1,0.74,clear sky
218,Harstad,NO,68.799,16.5293,46.58,100,100,8.01,overcast clouds
219,Khorixas,NA,-20.3667,14.9667,70.5,28,55,15.12,broken clouds
220,Fairlie,GB,55.756,-4.8556,54.12,86,96,12.53,moderate rain
221,Nexo,DK,55.0607,15.1306,53.69,86,100,2.73,overcast clouds
222,Gorontalo,ID,0.5412,123.0595,74.14,89,47,2.33,scattered clouds
223,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,41,3.53,light rain
224,Westport,US,41.1415,-73.3579,72.28,70,90,4.0,overcast clouds
225,Hede,CN,33.7681,120.2517,70.9,92,47,8.34,light rain
226,College,US,64.8569,-147.8028,36.23,81,87,1.01,overcast clouds
227,Raudeberg,NO,61.9875,5.1352,51.4,93,100,1.99,overcast clouds
228,Fairbanks,US,64.8378,-147.7164,36.25,84,90,4.61,overcast clouds
229,Jiuquan,CN,39.7432,98.5174,51.67,43,1,7.02,clear sky
230,Souillac,MU,-20.5167,57.5167,69.37,94,40,6.91,scattered clouds
231,Mitsamiouli,KM,-11.3847,43.2844,75.49,94,40,5.75,scattered clouds
232,Gewane,ET,10.1664,40.6453,94.48,30,52,3.67,broken clouds
233,Viedma,AR,-40.8135,-62.9967,56.34,32,13,11.07,few clouds
234,Inhambane,MZ,-23.865,35.3833,73.38,83,40,7.0,scattered clouds
235,Hanzhong,CN,33.0728,107.0303,55.65,96,100,0.56,overcast clouds
236,Tanout,NE,14.9709,8.8879,92.86,14,3,9.26,clear sky
237,Homer,US,59.6425,-151.5483,46.04,91,100,10.8,light rain
238,Lorengau,PG,-2.0226,147.2712,77.04,82,100,5.84,overcast clouds
239,San Juan,AR,-31.5375,-68.5364,61.16,26,0,17.9,clear sky
240,Beringovskiy,RU,63.05,179.3167,31.77,82,99,13.65,overcast clouds
241,Karasburg,NA,-28.0167,18.75,77.23,8,1,7.2,clear sky
242,Soligalich,RU,59.0778,42.2864,38.97,88,78,5.06,broken clouds
243,Takayama,JP,36.1333,137.25,57.29,94,44,0.87,scattered clouds
244,Tafresh,IR,34.692,50.013,60.26,39,57,1.72,broken clouds
245,Yaan,NG,7.3833,8.5667,79.48,81,97,5.77,overcast clouds
246,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.59,67,1,25.32,clear sky
247,Manaure,CO,11.7751,-72.4445,90.66,53,100,23.96,overcast clouds
248,East London,ZA,-33.0153,27.9116,66.22,78,56,16.78,broken clouds
249,Ceres,US,37.5949,-120.9577,77.05,63,40,4.61,scattered clouds
250,Feijo,BR,-8.1642,-70.3536,81.46,71,100,4.0,overcast clouds
251,Zambezi,ZM,-13.5432,23.1047,76.89,49,81,2.42,broken clouds
252,Hailey,US,43.5196,-114.3153,43.05,52,72,4.0,broken clouds
253,Pemangkat,ID,1.1667,108.9667,79.54,81,79,9.64,broken clouds
254,Ponta Do Sol,PT,32.6667,-17.1,75.7,70,100,4.12,overcast clouds
