City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
550,Lakatoro,VU,77.76,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
566,Samarai,PG,79.77,broken clouds,-10.6167,150.6667,Nuli Sapi
567,Martapura,ID,77.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
569,Buraydah,SA,88.5,clear sky,26.326,43.975,فندق راحة السلام
571,Cascais,PT,79.95,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
574,Vila Franca Do Campo,PT,77.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
575,Forrest City,US,78.66,overcast clouds,35.0081,-90.7898,Hampton Inn Forrest City
576,Jalu,LY,75.15,clear sky,29.0331,21.5482,صاحبة الفخامة
582,Marica,BR,82.26,overcast clouds,-22.9194,-42.8186,Marica Hills
588,Keti Bandar,PK,80.56,few clouds,24.1447,67.4497,Haji laloo memon house
589,Shenjiamen,CN,76.26,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
594,Sungairaya,ID,79.23,overcast clouds,0.7,108.9,Mess P.Milu
596,Ndjole,GA,76.57,moderate rain,-0.1783,10.7649,Hotel Kevazingo
599,Padang,ID,77.76,broken clouds,-0.9492,100.3543,Mercure Padang
600,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
604,Maryville,US,77.58,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
609,Jalingo,NG,82.13,broken clouds,8.8833,11.3667,Debright Motel
617,Shorapur,IN,76.32,overcast clouds,16.5167,76.75,Up Inn Lodge
627,Kapoeta,SS,80.6,broken clouds,4.7717,33.5903,Eastgate Hotel
628,Owensboro,US,79.16,scattered clouds,37.7742,-87.1133,Courtyard by Marriott Owensboro
631,Banswara,IN,83.93,overcast clouds,23.55,74.45,Deepak Hotel
636,Suphan Buri,TH,77.99,light rain,14.4742,100.1222,Vasidtee City Hotel
637,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
639,Bonthe,SL,81.84,light rain,7.5264,-12.505,Bonthe Holiday Village
640,Daudnagar,IN,78.71,clear sky,25.0333,84.4,पंजाब नेशनल बैंक बैंक मित्र केन्द्र दाउदनगर
642,Upata,VE,86.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
649,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
650,Dwarka,IN,81.95,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
652,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
661,Tsiroanomandidy,MG,75.09,broken clouds,-18.7667,46.0333,Hotel du Bongolave
663,Wanning,CN,80.2,light rain,18.8003,110.3967,Paradise Hotel
665,Waingapu,ID,75.69,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
675,Sibu,MY,75.34,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
677,Gizo,SB,81.45,light rain,-8.103,156.8419,Imagination Island
679,Luwuk,ID,75.33,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
680,Paine,CL,78.3,clear sky,-33.8167,-70.75,Hotel El Almendro
683,Ambon,ID,79.65,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
684,Ko Samui,TH,78.71,moderate rain,9.5357,99.9357,The Passage Samui Villas & Resort
691,Vallenar,CL,81.82,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
698,Gillette,US,79.72,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
699,La Union,PE,83.3,few clouds,-5.4,-80.75,Los Portales
703,Jabinyanah,TN,75.09,broken clouds,35.035,10.9081,maison belmabrouk
708,Bubaque,GW,83.46,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
709,Trat,TH,80.98,light rain,12.5,102.5,สวนหนิง-อัศ
